,age,number_of_time_30_59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_times_90_days_late,number_real_estate_loans_or_lines,number_of_time_60_89_days_past_due_not_worse,number_of_dependents,monthly_income_max,revolving_utilization_of_unsecured_lines_impute,debt_ratio_impute,serious_dlqin_2yrs
33237,3,0,7,0,0,3,0,3,3,5,0,0
98431,9,0,1,5,0,2,0,0,7,1,1,0
13250,6,0,7,0,0,1,0,0,2,2,0,0
60278,2,0,1,7,0,0,0,3,9,1,1,0
145808,8,1,1,4,0,0,0,1,5,1,1,0
47237,6,0,6,0,0,1,0,0,1,1,0,0
72553,2,0,5,7,0,1,0,1,9,1,4,0
95415,7,0,1,8,0,0,0,0,10,6,1,0
69740,4,0,1,8,0,2,0,3,10,4,1,0
145035,4,0,1,8,0,1,0,3,10,6,1,0
36245,8,0,1,8,0,0,0,0,10,0,1,0
46589,10,0,0,2,0,0,0,0,4,0,0,0
78586,3,2,6,0,0,0,1,0,1,3,0,1
133974,0,0,4,4,0,2,0,0,6,1,3,0
114759,4,0,0,8,0,0,0,0,10,1,0,0
135630,4,0,1,7,0,2,0,3,9,1,1,0
97229,6,0,7,0,0,1,0,0,3,1,0,0
133720,10,0,7,0,0,1,0,0,1,0,0,0
72215,8,0,2,5,0,2,0,0,7,1,1,0
46744,4,0,4,0,0,0,0,0,2,1,3,0
8906,5,1,5,5,0,2,0,1,7,1,4,0
3179,2,0,5,4,0,1,0,2,6,2,4,0
16343,9,0,6,0,0,0,0,1,1,2,0,0
13696,2,0,5,0,0,1,0,0,1,0,1,0
132857,0,0,1,3,0,0,0,0,5,6,1,0
100136,1,1,2,2,0,0,0,0,4,7,1,0
127433,5,0,1,5,0,1,0,0,7,1,1,0
54311,8,0,1,5,0,2,0,1,7,1,1,0
78659,4,0,1,6,0,0,0,1,8,0,1,0
131701,6,0,7,0,0,1,0,0,6,6,0,0
77859,7,0,1,5,0,1,0,0,7,0,1,0
115808,4,0,1,4,0,1,0,0,5,7,1,0
22911,1,0,5,5,0,3,0,1,7,0,4,1
149757,10,0,2,5,0,1,0,0,7,2,1,0
115832,8,0,1,1,0,1,0,0,2,1,1,0
37924,10,1,1,8,1,0,0,1,10,7,1,1
94325,10,0,1,3,0,0,0,0,5,1,1,0
103144,10,0,0,5,0,0,0,0,7,0,0,0
63198,4,0,6,0,0,0,0,0,0,6,0,1
65505,3,0,1,8,0,0,0,0,10,6,1,0
104288,2,0,1,6,0,0,0,2,8,4,1,0
122211,1,0,1,6,0,2,0,0,8,1,1,0
73830,3,1,7,0,0,2,0,1,4,1,0,0
30612,4,0,3,3,0,1,0,2,5,0,2,0
100224,3,0,6,0,0,0,0,0,1,0,0,0
12051,2,0,1,7,0,2,0,3,9,1,1,0
89320,3,1,1,2,0,0,0,1,3,2,1,0
65457,9,0,1,2,0,0,0,1,4,1,1,0
144143,7,0,5,1,0,1,0,0,3,1,4,0
29301,6,0,6,0,0,0,0,0,0,1,0,0
132099,9,0,0,0,0,0,0,0,0,0,0,0
81372,4,0,1,3,0,1,0,0,5,7,1,0
71956,8,0,2,7,0,2,0,0,9,7,1,0
39550,4,0,5,5,0,3,0,1,7,6,1,1
12404,7,0,1,6,0,2,0,0,8,1,1,0
15934,7,0,6,0,0,1,0,0,1,1,0,0
140207,2,2,3,2,0,0,1,0,4,7,2,1
85712,0,0,1,5,0,1,0,0,7,2,1,0
143232,3,0,1,7,0,1,0,3,9,2,1,0
4375,7,0,5,7,0,2,0,0,9,6,4,0
1833,10,0,1,5,0,2,0,0,7,1,1,0
23383,3,0,1,3,0,0,0,2,5,5,1,0
15666,0,0,3,0,0,0,0,0,2,1,2,0
124739,7,0,1,7,0,1,0,2,9,1,1,0
75672,6,0,2,5,0,1,0,0,7,1,1,0
59845,9,0,6,0,0,0,0,0,0,7,0,0
51620,0,0,2,1,0,0,0,0,2,7,1,0
135761,2,0,7,0,0,2,0,2,5,2,0,0
89031,4,1,2,7,0,1,0,1,9,7,1,0
52181,3,0,1,8,0,3,0,3,10,3,1,0
37815,4,0,7,0,0,1,0,2,8,1,0,0
55312,8,1,1,2,0,0,0,2,4,0,1,0
58901,7,0,1,8,0,2,0,0,10,0,1,0
101988,9,0,1,1,0,1,0,0,3,1,1,0
82032,2,2,1,5,0,0,0,3,7,7,1,0
24563,0,0,6,0,1,0,0,0,0,7,0,0
110503,4,0,5,3,0,2,0,0,5,5,4,0
129362,9,0,6,0,0,0,0,0,1,1,0,0
84524,5,0,1,5,0,1,0,0,7,0,1,0
