existing_checking_account_status,duration_mth,credit_history,purpose,credit_amount,saving_accounts_or_bonds,present_employment_since,installment_rate_percent,personal_status_sex,other_debtors_or_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,no_of_existing_credits,job,no_of_ppl_liable,telephone,monthly_affordability_amount,label
A11,0.2084816334711527,A34,A42,0.7284676390425895,A61,A75,1,A92,A101,4,A122,-1.1283959579554579,A143,A152,2,A173,1,A191,0.28634675371611823,0
A14,0.9068476133653771,A32,A43,-0.3457058807672025,A65,A75,4,A93,A101,4,A123,1.8167980556374008,A143,A152,1,A173,1,A192,-0.7855612306011596,0
A14,1.2208750601667522,A34,A41,1.8926382823610137,A65,A75,2,A93,A101,4,A124,0.739461338491375,A143,A153,2,A173,1,A191,1.430454688378343,0
A11,1.3587392138509804,A34,A42,2.2852970721682464,A65,A74,4,A93,A101,4,A122,-0.38359868907389816,A143,A152,2,A174,1,A192,2.4906386932880764,0
A11,0.02701053204185312,A32,A40,-0.10413463131323825,A62,A74,4,A93,A101,3,A123,-0.38359868907389816,A143,A152,1,A174,2,A192,-0.01490060067380669,0
A12,-0.287016914759522,A30,A40,-0.40909058268334986,A61,A72,2,A92,A101,1,A121,-0.8612334532896165,A143,A151,2,A171,1,A191,-0.5834962302966965,1
A11,1.4863814833241447,A32,A42,1.5233108078963982,A61,A74,2,A93,A103,4,A122,0.9697422583438209,A143,A153,1,A173,2,A191,0.7957490925842681,0
A12,0.5225090802725286,A32,A41,2.1299187643717192,A61,A75,4,A92,A101,2,A124,0.894733495760251,A143,A153,1,A174,1,A192,2.6593734681230297,1
A11,0.5225090802725286,A32,A41,0.2364696818954556,A61,A73,3,A93,A103,4,A124,2.092802285909094,A141,A152,1,A173,2,A192,-0.058002662389584264,0
A12,0.5225090802725286,A34,A46,1.1124577683248618,A61,A72,2,A92,A101,4,A124,-1.1283959579554579,A143,A153,2,A173,1,A192,0.8389830212002279,0
A12,-0.6713554478523704,A32,A43,-1.7658307576295884,A61,A72,4,A94,A103,1,A121,-0.8612334532896165,A141,A152,1,A172,1,A191,-1.7675265327049006,0
