existing_checking_account_status,duration_mth,credit_history,purpose,credit_amount,saving_accounts_or_bonds,present_employment_since,installment_rate_percent,personal_status_sex,other_debtors_or_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,no_of_existing_credits,job,no_of_ppl_liable,telephone,monthly_affordability_amount,label
3,0.2084816334711527,0,3,0.7284676390425895,4,0,1,2,0,4,1,-1.1283959579554579,0,0,2,0,1,1,0.28634675371611823,0
0,0.9068476133653771,2,1,-0.3457058807672025,1,0,4,0,0,4,2,1.8167980556374008,0,0,1,0,1,0,-0.7855612306011596,0
0,1.2208750601667522,0,0,1.8926382823610137,1,0,2,0,0,4,3,0.739461338491375,0,2,2,0,1,1,1.430454688378343,0
3,1.3587392138509804,0,3,2.2852970721682464,1,1,4,0,0,4,1,-0.38359868907389816,0,0,2,3,1,0,2.4906386932880764,0
3,0.02701053204185312,2,4,-0.10413463131323825,3,1,4,0,0,3,2,-0.38359868907389816,0,0,1,3,2,0,-0.01490060067380669,0
2,-0.287016914759522,3,4,-0.40909058268334986,4,4,2,2,0,1,0,-0.8612334532896165,0,1,2,1,1,1,-0.5834962302966965,1
3,1.4863814833241447,2,3,1.5233108078963982,4,1,2,0,1,4,1,0.9697422583438209,0,2,1,0,2,1,0.7957490925842681,0
2,0.5225090802725286,2,0,2.1299187643717192,4,0,4,2,0,2,3,0.894733495760251,0,2,1,3,1,0,2.6593734681230297,1
3,0.5225090802725286,2,0,0.2364696818954556,4,2,3,0,1,4,3,2.092802285909094,2,0,1,0,2,0,-0.058002662389584264,0
2,0.5225090802725286,0,2,1.1124577683248618,4,4,2,2,0,4,3,-1.1283959579554579,0,2,2,0,1,0,0.8389830212002279,0
2,-0.6713554478523704,2,1,-1.7658307576295884,4,4,4,1,1,1,0,-0.8612334532896165,2,0,1,2,1,1,-1.7675265327049006,0
2,0.5225090802725286,2,1,0.954289229908682,1,0,2,2,0,4,2,0.739461338491375,0,0,1,0,1,0,0.6306394928622048,0
0,-0.6713554478523704,0,2,0.4936895595426805,1,4,2,0,0,1,1,0.3163959008835338,0,0,2,2,2,1,0.9063300761362975,0
3,-0.6713554478523704,2,3,1.5205088802835312,4,0,4,0,0,4,3,1.5158962799303233,0,2,1,3,1,0,2.561321684115195,1
0,0.3726422129683802,2,4,-0.8325159016065031,1,1,4,2,0,4,1,-0.9921423676100591,0,1,1,0,1,1,-1.1653185834100737,0
0,-1.8652199759772696,2,3,-0.593053837334162,0,2,4,3,0,2,0,-0.06547718748089627,0,0,1,0,1,1,0.6596882753661097,0
2,-1.1668539960830453,2,4,0.35149108925426176,1,2,1,2,0,2,0,-0.06547718748089627,0,0,1,2,1,1,0.9903821325475409,0
2,0.02701053204185312,2,1,-0.8144361412729847,4,0,4,1,1,2,0,-0.1681852747143106,0,0,1,2,1,1,-0.9505273963103077,0
2,0.9068476133653771,2,3,0.4477483361817995,3,2,2,2,1,4,2,-1.5740902921674929,0,1,1,0,1,1,-0.28475823674301726,1
0,-0.6713554478523704,0,1,-0.5021205555462066,4,0,2,0,0,4,0,2.092802285909094,0,0,2,2,1,0,-0.4053757473467913,0
0,-0.287016914759522,0,4,0.9442960011149598,1,0,1,2,0,4,2,1.8738549914264933,0,0,1,0,1,0,0.9896457168947336,0
2,0.5225090802725286,2,1,-0.23134360182320857,4,4,1,1,0,1,1,-1.4188181348986153,0,0,1,0,1,0,-1.2335452173540067,1
0,-0.287016914759522,0,1,-0.6550660930416087,4,2,4,0,0,4,3,0.13091765995521398,0,2,2,0,1,0,-0.5525692005885321,0
3,0.5225090802725286,2,3,0.2680370120908764,1,2,2,1,0,4,2,-1.7369396364916188,0,0,1,0,1,1,-0.27330897768476425,1
1,-0.6713554478523704,2,3,-0.10298111654502914,4,2,1,2,0,2,2,1.043102342472338,0,0,1,2,1,1,-0.05360344135101048,0
0,-1.1668539960830453,2,2,-0.674620907325479,4,1,3,2,0,2,2,-0.735265693778886,0,0,2,0,1,1,-0.09997963920829649,0
0,1.7163736083974277,3,2,0.5096080689501009,4,2,1,2,0,1,0,-0.735265693778886,1,0,1,0,1,1,-1.139949180631703,0
3,0.5225090802725286,2,1,-0.8335277566509764,3,2,4,2,0,2,2,-0.1681852747143106,0,0,1,2,1,1,-1.2441519131783996,1
3,1.2208750601667522,0,2,1.5530957533355219,4,2,3,2,0,2,3,-0.9921423676100591,0,0,2,3,1,0,1.3080552844409965,1
0,-0.6713554478523704,0,3,-0.5524843469128546,0,1,3,2,0,2,1,0.13091765995521398,0,0,1,0,1,1,-0.31381618830046815,0
2,-0.6713554478523704,2,1,1.2667355970652654,1,3,2,0,0,1,3,1.4523181773692513,0,0,1,3,1,0,1.9246055223024467,1
0,1.2208750601667522,2,2,-0.3795058345120355,4,2,4,0,0,4,3,0.3163959008835338,1,2,1,0,1,0,-0.9647488799778146,1
3,0.02701053204185312,2,4,-0.9021173515093837,4,4,4,2,0,3,2,-1.2704492881865297,0,1,1,0,1,0,-1.0660232647840526,1
2,0.5225090802725286,1,4,-0.2793161462424544,1,2,4,2,0,4,2,0.739461338491375,0,1,2,0,1,0,-0.5141306111253389,0
0,-0.6713554478523704,2,4,-1.7350537254894072,4,2,4,3,0,2,0,1.253977687520487,0,0,1,2,1,1,-1.7269862613458387,0
0,1.7163736083974277,0,0,0.1573252307966599,1,0,4,0,0,3,2,0.4054078282982945,0,0,2,0,2,0,-0.4423983525913956,0
2,0.02701053204185312,1,4,0.22532669716054501,1,0,4,0,0,4,2,0.8180002436191302,0,0,1,0,2,1,0.419074046322987,0
2,0.9068476133653771,0,4,-0.14397698146362709,1,0,4,0,0,4,0,0.2249449894622613,0,0,2,0,1,1,-0.5198389126894619,0
0,0.9068476133653771,0,1,1.1187693515163217,4,1,4,2,0,2,2,-0.9921423676100591,0,0,2,0,1,1,1.143481928758172,0
0,-0.6713554478523704,2,1,-0.20988302666430073,3,2,4,2,1,2,0,-0.6138796089263456,0,0,1,0,1,1,0.28200647445911015,0
0,0.02701053204185312,2,1,-0.6254129634760706,4,2,4,0,0,2,3,-0.1681852747143106,0,2,1,3,1,0,-0.7015413704278933,0
